Temperature,Jsc 2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3,Jsc4,Voc4,FF4,Hysteresis4,PCE4
20,0.99443,0.9944,0.99037,0.9899,1.00231,1.00232,1.00218,1.01954,1.0192,0.99438,0.98996,1.00223,1.01926,0.98663
20,0.9944,0.99438,0.9899,0.98996,1.00232,1.00218,1.00223,1.0192,1.01926,0.99436,0.98967,1.00213,1.01904,0.98658
20,0.99438,0.99436,0.98996,0.98967,1.00218,1.00223,1.00213,1.01926,1.01904,0.99436,0.98974,1.0022,1.0191,0.98654
20,0.99436,0.99436,0.98967,0.98974,1.00223,1.00213,1.0022,1.01904,1.0191,0.99435,0.9895,1.00214,1.01892,0.98651
20,0.99436,0.99435,0.98974,0.9895,1.00213,1.0022,1.00214,1.0191,1.01892,0.99431,0.98907,1.00204,1.01864,0.98648
20,0.99435,0.99431,0.9895,0.98907,1.0022,1.00214,1.00204,1.01892,1.01864,0.99429,0.98865,1.00195,1.01835,0.98647
20,0.99431,0.99429,0.98907,0.98865,1.00214,1.00204,1.00195,1.01864,1.01835,0.99428,0.98879,1.002,1.01845,0.98646
20,0.99429,0.99428,0.98865,0.98879,1.00204,1.00195,1.002,1.01835,1.01845,0.99428,0.98897,1.00205,1.01861,0.98646
20,0.99428,0.99428,0.98879,0.98897,1.00195,1.002,1.00205,1.01845,1.01861,0.99427,0.98922,1.00219,1.01894,0.98647
20,0.99428,0.99427,0.98897,0.98922,1.002,1.00205,1.00219,1.01861,1.01894,0.99427,0.98946,1.00235,1.01926,0.98648
20,0.99427,0.99427,0.98922,0.98946,1.00205,1.00219,1.00235,1.01894,1.01926,0.99425,0.98945,1.00243,1.01936,0.9865
20,0.99427,0.99425,0.98946,0.98945,1.00219,1.00235,1.00243,1.01926,1.01936,0.99423,0.98942,1.0025,1.01942,0.98652
20,0.99425,0.99423,0.98945,0.98942,1.00235,1.00243,1.0025,1.01936,1.01942,0.99422,0.98968,1.0027,1.01979,0.98655
20,0.99423,0.99422,0.98942,0.98968,1.00243,1.0025,1.0027,1.01942,1.01979,0.9942,0.98962,1.0027,1.01983,0.98658
20,0.99422,0.9942,0.98968,0.98962,1.0025,1.0027,1.0027,1.01979,1.01983,0.99418,0.98956,1.00269,1.01984,0.98661
20,0.9942,0.99418,0.98962,0.98956,1.0027,1.0027,1.00269,1.01983,1.01984,0.99418,0.98976,1.0028,1.02013,0.98664
20,0.99418,0.99418,0.98956,0.98976,1.0027,1.00269,1.0028,1.01984,1.02013,0.99416,0.98969,1.00284,1.02018,0.98667
20,0.99418,0.99416,0.98976,0.98969,1.00269,1.0028,1.00284,1.02013,1.02018,0.99415,0.98986,1.00294,1.02043,0.9867
20,0.99416,0.99415,0.98969,0.98986,1.0028,1.00284,1.00294,1.02018,1.02043,0.99415,0.99004,1.00303,1.02074,0.98672
20,0.99415,0.99415,0.98986,0.99004,1.00284,1.00294,1.00303,1.02043,1.02074,0.99413,0.98994,1.00301,1.02076,0.98674
20,0.99415,0.99413,0.99004,0.98994,1.00294,1.00303,1.00301,1.02074,1.02076,0.99411,0.98985,1.00302,1.0208,0.98675
20,0.99413,0.99411,0.98994,0.98985,1.00303,1.00301,1.00302,1.02076,1.0208,0.99411,0.98974,1.00306,1.02082,0.98675
20,0.99411,0.99411,0.98985,0.98974,1.00301,1.00302,1.00306,1.0208,1.02082,0.99408,0.98958,1.00308,1.0208,0.98674
20,0.99411,0.99408,0.98974,0.98958,1.00302,1.00306,1.00308,1.02082,1.0208,0.99407,0.98972,1.00321,1.02106,0.98672
20,0.99408,0.99407,0.98958,0.98972,1.00306,1.00308,1.00321,1.0208,1.02106,0.99405,0.98955,1.00321,1.02103,0.98668
20,0.99407,0.99405,0.98972,0.98955,1.00308,1.00321,1.00321,1.02106,1.02103,0.99403,0.98968,1.00334,1.02128,0.98663
20,0.99405,0.99403,0.98955,0.98968,1.00321,1.00321,1.00334,1.02103,1.02128,0.99403,0.9898,1.00345,1.02152,0.98657
20,0.99403,0.99403,0.98968,0.9898,1.00321,1.00334,1.00345,1.02128,1.02152,0.99401,0.98987,1.00352,1.02172,0.9865
20,0.99403,0.99401,0.9898,0.98987,1.00334,1.00345,1.00352,1.02152,1.02172,0.99397,0.98972,1.0035,1.02169,0.98641
20,0.99401,0.99397,0.98987,0.98972,1.00345,1.00352,1.0035,1.02172,1.02169,0.99395,0.98955,1.00344,1.02166,0.98632
20,0.99397,0.99395,0.98972,0.98955,1.00352,1.0035,1.00344,1.02169,1.02166,0.99393,0.98968,1.00351,1.02191,0.9862
20,0.99395,0.99393,0.98955,0.98968,1.0035,1.00344,1.00351,1.02166,1.02191,0.9939,0.98948,1.00345,1.02183,0.98608
20,0.99393,0.9939,0.98968,0.98948,1.00344,1.00351,1.00345,1.02191,1.02183,0.99387,0.98927,1.00339,1.02178,0.98595
20,0.9939,0.99387,0.98948,0.98927,1.00351,1.00345,1.00339,1.02183,1.02178,0.99381,0.98861,1.00313,1.02146,0.98581
20,0.99387,0.99381,0.98927,0.98861,1.00345,1.00339,1.00313,1.02178,1.02146,0.99379,0.98844,1.00305,1.02147,0.98566
20,0.99381,0.99379,0.98861,0.98844,1.00339,1.00313,1.00305,1.02146,1.02147,0.99376,0.98839,1.00298,1.02155,0.9855
20,0.99379,0.99376,0.98844,0.98839,1.00313,1.00305,1.00298,1.02147,1.02155,0.99374,0.98823,1.00294,1.02155,0.98534
20,0.99376,0.99374,0.98839,0.98823,1.00305,1.00298,1.00294,1.02155,1.02155,0.99374,0.98825,1.00294,1.02169,0.98517
20,0.99374,0.99374,0.98823,0.98825,1.00298,1.00294,1.00294,1.02155,1.02169,0.9937,0.98783,1.0028,1.02147,0.985
20,0.99374,0.9937,0.98825,0.98783,1.00294,1.00294,1.0028,1.02169,1.02147,0.99369,0.98794,1.00289,1.02173,0.98483
20,0.9937,0.99369,0.98783,0.98794,1.00294,1.0028,1.00289,1.02147,1.02173,0.99365,0.98749,1.00274,1.02146,0.98467
20,0.99369,0.99365,0.98794,0.98749,1.0028,1.00289,1.00274,1.02173,1.02146,0.99363,0.9874,1.00274,1.02155,0.9845
20,0.99365,0.99363,0.98749,0.9874,1.00289,1.00274,1.00274,1.02146,1.02155,0.99359,0.98733,1.00278,1.02168,0.98434
20,0.99363,0.99359,0.9874,0.98733,1.00274,1.00274,1.00278,1.02155,1.02168,0.99357,0.98725,1.00282,1.02176,0.98418
20,0.99359,0.99357,0.98733,0.98725,1.00274,1.00278,1.00282,1.02168,1.02176,0.99355,0.98719,1.00284,1.02189,0.98404
20,0.99357,0.99355,0.98725,0.98719,1.00278,1.00282,1.00284,1.02176,1.02189,0.99351,0.98687,1.0028,1.02182,0.9839
20,0.99355,0.99351,0.98719,0.98687,1.00282,1.00284,1.0028,1.02189,1.02182,0.9935,0.98711,1.00295,1.02221,0.98378
