Temperature,Jsc2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3
50,1.0006,1.00135,1.00417,1.00418,1.00418,1.00422,1.00425,1.0045,1.00426
50,1.00135,1.00097,1.00418,1.00422,1.00422,1.00425,1.00429,1.00426,1.00411
50,1.00097,1.0009,1.00422,1.00426,1.00425,1.00429,1.00432,1.00411,1.00387
50,1.0009,1.00131,1.00426,1.0043,1.00429,1.00432,1.00436,1.00387,1.00368
50,1.00131,1.00082,1.0043,1.0043,1.00432,1.00436,1.00439,1.00368,1.00341
50,1.00082,1.00097,1.0043,1.00433,1.00436,1.00439,1.00442,1.00341,1.00314
50,1.00097,1.00034,1.00433,1.00434,1.00439,1.00442,1.00445,1.00314,1.00291
50,1.00034,1.00055,1.00434,1.00437,1.00442,1.00445,1.00448,1.00291,1.00266
50,1.00055,1.00104,1.00437,1.0044,1.00445,1.00448,1.00451,1.00266,1.00246
50,1.00104,1.00073,1.0044,1.00442,1.00448,1.00451,1.00454,1.00246,1.0022
50,1.00073,1.00079,1.00442,1.00446,1.00451,1.00454,1.00457,1.0022,1.00195
50,1.00079,1.0006,1.00446,1.00449,1.00454,1.00457,1.00459,1.00195,1.00167
50,1.0006,1.00115,1.00449,1.00451,1.00457,1.00459,1.00462,1.00167,1.00142
50,1.00115,1.00079,1.00451,1.00454,1.00459,1.00462,1.00464,1.00142,1.00118
50,1.00079,1.00089,1.00454,1.00458,1.00462,1.00464,1.00466,1.00118,1.00099
50,1.00089,1.00096,1.00458,1.0046,1.00464,1.00466,1.00468,1.00099,1.00078
50,1.00096,1.00071,1.0046,1.00461,1.00466,1.00468,1.0047,1.00078,1.0006
50,1.00071,1.00087,1.00461,1.00465,1.00468,1.0047,1.00472,1.0006,1.00044
50,1.00087,1.0011,1.00465,1.00467,1.0047,1.00472,1.00473,1.00044,1.0002
50,1.0011,1.00152,1.00467,1.00466,1.00472,1.00473,1.00475,1.0002,0.99999
50,1.00152,1.00186,1.00466,1.00467,1.00473,1.00475,1.00476,0.99999,0.99979
50,1.00186,1.00134,1.00467,1.00468,1.00475,1.00476,1.00477,0.99979,0.99977
50,1.00134,1.00158,1.00468,1.00472,1.00476,1.00477,1.00478,0.99977,0.99952
50,1.00158,1.00152,1.00472,1.00475,1.00477,1.00478,1.00479,0.99952,0.9993
50,1.00152,1.00156,1.00475,1.00474,1.00478,1.00479,1.0048,0.9993,0.99913
50,1.00156,1.00128,1.00474,1.00478,1.00479,1.0048,1.0048,0.99913,0.99886
50,1.00128,1.00153,1.00478,1.0048,1.0048,1.0048,1.00481,0.99886,0.99868
50,1.00153,1.00128,1.0048,1.00481,1.0048,1.00481,1.00481,0.99868,0.99857
50,1.00128,1.00167,1.00481,1.00482,1.00481,1.00481,1.00481,0.99857,0.99835
50,1.00167,1.00183,1.00482,1.0048,1.00481,1.00481,1.00481,0.99835,0.99816
50,1.00183,1.00141,1.0048,1.00482,1.00481,1.00481,1.00481,0.99816,0.99789
50,1.00141,1.00182,1.00482,1.00482,1.00481,1.00481,1.00481,0.99789,0.99763
50,1.00182,1.00154,1.00482,1.00484,1.00481,1.00481,1.00481,0.99763,0.99744
50,1.00154,1.00134,1.00484,1.00485,1.00481,1.00481,1.0048,0.99744,0.99723
50,1.00134,1.00167,1.00485,1.00482,1.00481,1.0048,1.0048,0.99723,0.99699
50,1.00167,1.00122,1.00482,1.00482,1.0048,1.0048,1.00479,0.99699,0.99678
50,1.00122,1.00175,1.00482,1.0048,1.0048,1.00479,1.00478,0.99678,0.99661
50,1.00175,1.00107,1.0048,1.00481,1.00479,1.00478,1.00478,0.99661,0.99632
50,1.00107,1.00107,1.00481,1.00479,1.00478,1.00478,1.00477,0.99632,0.99615
50,1.00107,1.00107,1.00479,1.00479,1.00478,1.00477,1.00476,0.99615,0.99585
50,1.00107,1.00116,1.00479,1.0048,1.00477,1.00476,1.00474,0.99585,0.99561
50,1.00116,1.00126,1.0048,1.00481,1.00476,1.00474,1.00473,0.99561,0.99546
50,1.00126,1.00113,1.00481,1.00483,1.00474,1.00473,1.00472,0.99546,0.99527
50,1.00113,1.00182,1.00483,1.00484,1.00473,1.00472,1.00471,0.99527,0.99511
50,1.00182,1.00199,1.00484,1.00487,1.00472,1.00471,1.00469,0.99511,0.99496
50,1.00199,1.00171,1.00487,1.00487,1.00471,1.00469,1.00468,0.99496,0.99485
50,1.00171,1.00109,1.00487,1.00488,1.00469,1.00468,1.00466,0.99485,0.99489
50,1.00109,1.00187,1.00488,1.00488,1.00468,1.00466,1.00464,0.99489,0.99464
50,1.00187,1.0017,1.00488,1.00488,1.00466,1.00464,1.00463,0.99464,0.99449
50,1.0017,1.00121,1.00488,1.00487,1.00464,1.00463,1.00461,0.99449,0.9943
50,1.00121,1.0015,1.00487,1.0049,1.00463,1.00461,1.00459,0.9943,0.99404
50,1.0015,1.00193,1.0049,1.00491,1.00461,1.00459,1.00457,0.99404,0.99383
50,1.00193,1.00185,1.00491,1.00493,1.00459,1.00457,1.00455,0.99383,0.99364
50,1.00185,1.00172,1.00493,1.00495,1.00457,1.00455,1.00453,0.99364,0.99339
50,1.00172,1.00213,1.00495,1.00497,1.00455,1.00453,1.00451,0.99339,0.99313
50,1.00213,1.0017,1.00497,1.005,1.00453,1.00451,1.00449,0.99313,0.99295
50,1.0017,1.00232,1.005,1.00499,1.00451,1.00449,1.00447,0.99295,0.99264
50,1.00232,1.00249,1.00499,1.00502,1.00449,1.00447,1.00445,0.99264,0.99235
50,1.00249,1.00221,1.00502,1.00503,1.00447,1.00445,1.00443,0.99235,0.99214
50,1.00221,1.00216,1.00503,1.00503,1.00445,1.00443,1.00441,0.99214,0.99197
50,1.00216,1.00199,1.00503,1.00503,1.00443,1.00441,1.00439,0.99197,0.99178
50,1.00199,1.00281,1.00503,1.00505,1.00441,1.00439,1.00437,0.99178,0.99153
50,1.00281,1.00195,1.00505,1.00508,1.00439,1.00437,1.00435,0.99153,0.99133
50,1.00195,1.00195,1.00508,1.00504,1.00437,1.00435,1.00433,0.99133,0.99117
50,1.00195,1.00221,1.00504,1.00507,1.00435,1.00433,1.00431,0.99117,0.99096
50,1.00221,1.00224,1.00507,1.00506,1.00433,1.00431,1.00429,0.99096,0.99071
50,1.00224,1.00183,1.00506,1.00509,1.00431,1.00429,1.00427,0.99071,0.99053
50,1.00183,1.00196,1.00509,1.00509,1.00429,1.00427,1.00425,0.99053,0.99035
50,1.00196,1.00172,1.00509,1.00512,1.00427,1.00425,1.00423,0.99035,0.99016
50,1.00172,1.00201,1.00512,1.00515,1.00425,1.00423,1.00421,0.99016,0.98995
50,1.00201,1.0019,1.00515,1.00513,1.00423,1.00421,1.00419,0.98995,0.98979
50,1.0019,1.00246,1.00513,1.00514,1.00421,1.00419,1.00417,0.98979,0.98952
50,1.00246,1.00205,1.00514,1.00515,1.00419,1.00417,1.00415,0.98952,0.98937
50,1.00205,1.00208,1.00515,1.00513,1.00417,1.00415,1.00413,0.98937,0.98913
50,1.00208,1.0019,1.00513,1.00514,1.00415,1.00413,1.00411,0.98913,0.98897
50,1.0019,1.00162,1.00514,1.00517,1.00413,1.00411,1.00409,0.98897,0.98875
50,1.00162,1.00183,1.00517,1.00513,1.00411,1.00409,1.00408,0.98875,0.98861
50,1.00183,1.00126,1.00513,1.00513,1.00409,1.00408,1.00406,0.98861,0.98845
50,1.00126,1.00163,1.00513,1.00514,1.00408,1.00406,1.00404,0.98845,0.98829
50,1.00163,1.00148,1.00514,1.00515,1.00406,1.00404,1.00402,0.98829,0.98807
50,1.00148,1.00175,1.00515,1.00511,1.00404,1.00402,1.00401,0.98807,0.98781
50,1.00175,1.00147,1.00511,1.00514,1.00402,1.00401,1.00399,0.98781,0.98767
50,1.00147,1.00123,1.00514,1.00515,1.00401,1.00399,1.00397,0.98767,0.98753
50,1.00123,1.00084,1.00515,1.00514,1.00399,1.00397,1.00396,0.98753,0.98738
50,1.00084,1.00048,1.00514,1.00514,1.00397,1.00396,1.00394,0.98738,0.98713
50,1.00048,1.00115,1.00514,1.00511,1.00396,1.00394,1.00392,0.98713,0.98698
50,1.00115,1.00123,1.00511,1.00513,1.00394,1.00392,1.00391,0.98698,0.98685
50,1.00123,1.00118,1.00513,1.0051,1.00392,1.00391,1.00389,0.98685,0.98672
50,1.00118,1.00117,1.0051,1.0051,1.00391,1.00389,1.00387,0.98672,0.9864
50,1.00117,1.00098,1.0051,1.00512,1.00389,1.00387,1.00385,0.9864,0.98619
50,1.00098,1.00097,1.00512,1.00513,1.00387,1.00385,1.00384,0.98619,0.98598
50,1.00097,1.00121,1.00513,1.00516,1.00385,1.00384,1.00382,0.98598,0.98583
50,1.00121,1.00102,1.00516,1.00516,1.00384,1.00382,1.0038,0.98583,0.98564
50,1.00102,1.00122,1.00516,1.00517,1.00382,1.0038,1.00378,0.98564,0.98544
50,1.00122,1.00132,1.00517,1.00521,1.0038,1.00378,1.00376,0.98544,0.9852
50,1.00132,1.0008,1.00521,1.00519,1.00378,1.00376,1.00374,0.9852,0.98499
50,1.0008,1.00126,1.00519,1.0052,1.00376,1.00374,1.00372,0.98499,0.98478
50,1.00126,1.00043,1.0052,1.00521,1.00374,1.00372,1.00369,0.98478,0.98457
50,1.00043,1.00067,1.00521,1.00525,1.00372,1.00369,1.00367,0.98457,0.98443
50,1.00067,1.00084,1.00525,1.00527,1.00369,1.00367,1.00364,0.98443,0.98428
50,1.00084,1.00085,1.00527,1.00535,1.00367,1.00364,1.00362,0.98428,0.98412
50,1.00085,1.00079,1.00535,1.00537,1.00364,1.00362,1.00359,0.98412,0.98394
50,1.00079,1.00102,1.00537,1.00535,1.00362,1.00359,1.00356,0.98394,0.98371
50,1.00102,1.00071,1.00535,1.00533,1.00359,1.00356,1.00353,0.98371,0.98363
50,1.00071,1.00102,1.00533,1.00535,1.00356,1.00353,1.0035,0.98363,0.98341
50,1.00102,1.00123,1.00535,1.00538,1.00353,1.0035,1.00347,0.98341,0.98326
50,1.00123,1.00129,1.00538,1.00539,1.0035,1.00347,1.00343,0.98326,0.98312
50,1.00129,1.00183,1.00539,1.00542,1.00347,1.00343,1.0034,0.98312,0.98297
50,1.00183,1.00096,1.00542,1.00541,1.00343,1.0034,1.00336,0.98297,0.98283
50,1.00096,1.0013,1.00541,1.00542,1.0034,1.00336,1.00332,0.98283,0.98265
50,1.0013,1.0008,1.00542,1.00541,1.00336,1.00332,1.00327,0.98265,0.98264
50,1.0008,1.00116,1.00541,1.00541,1.00332,1.00327,1.00323,0.98264,0.9826
50,1.00116,1.00111,1.00541,1.00542,1.00327,1.00323,1.00318,0.9826,0.98256
50,1.00111,1.00142,1.00542,1.0054,1.00323,1.00318,1.00314,0.98256,0.98252
50,1.00142,1.00093,1.0054,1.0054,1.00318,1.00314,1.00309,0.98252,0.98249
50,1.00093,1.00074,1.0054,1.00541,1.00314,1.00309,1.00303,0.98249,0.98231
50,1.00074,1.00135,1.00541,1.00541,1.00309,1.00303,1.00298,0.98231,0.98223
50,1.00135,1.00087,1.00541,1.00541,1.00303,1.00298,1.00292,0.98223,0.98207
50,1.00087,1.00123,1.00541,1.00542,1.00298,1.00292,1.00286,0.98207,0.98195
50,1.00123,1.00152,1.00542,1.00539,1.00292,1.00286,1.0028,0.98195,0.9819
50,1.00152,1.00102,1.00539,1.00542,1.00286,1.0028,1.00274,0.9819,0.98185
50,1.00102,1.00135,1.00542,1.00545,1.0028,1.00274,1.00267,0.98185,0.98172
50,1.00135,1.00152,1.00545,1.00549,1.00274,1.00267,1.0026,0.98172,0.98145
50,1.00152,1.00112,1.00549,1.00549,1.00267,1.0026,1.00253,0.98145,0.98141
50,1.00112,1.0013,1.00549,1.0055,1.0026,1.00253,1.00246,0.98141,0.98135
50,1.0013,1.00131,1.0055,1.00553,1.00253,1.00246,1.00238,0.98135,0.98123
50,1.00131,1.00184,1.00553,1.00556,1.00246,1.00238,1.00231,0.98123,0.98107
50,1.00184,1.00192,1.00556,1.00556,1.00238,1.00231,1.00223,0.98107,0.98096
50,1.00192,1.00175,1.00556,1.00553,1.00231,1.00223,1.00214,0.98096,0.98072
50,1.00175,1.00144,1.00553,1.00553,1.00223,1.00214,1.00206,0.98072,0.98055
50,1.00144,1.00187,1.00553,1.00556,1.00214,1.00206,1.00197,0.98055,0.98045
50,1.00187,1.0022,1.00556,1.00556,1.00206,1.00197,1.00189,0.98045,0.9803
50,1.0022,1.00167,1.00556,1.00559,1.00197,1.00189,1.0018,0.9803,0.98017
50,1.00167,1.00183,1.00559,1.00558,1.00189,1.0018,1.0017,0.98017,0.97997
50,1.00183,1.0024,1.00558,1.00557,1.0018,1.0017,1.00161,0.97997,0.9798
50,1.0024,1.00203,1.00557,1.00559,1.0017,1.00161,1.00151,0.9798,0.97977
50,1.00203,1.00243,1.00559,1.00558,1.00161,1.00151,1.00141,0.97977,0.97962
50,1.00243,1.00232,1.00558,1.0056,1.00151,1.00141,1.00131,0.97962,0.97959
50,1.00232,1.00109,1.0056,1.00561,1.00141,1.00131,1.00121,0.97959,0.97947
50,1.00109,1.00184,1.00561,1.00564,1.00131,1.00121,1.00111,0.97947,0.97933
50,1.00184,1.00207,1.00564,1.00566,1.00121,1.00111,1.001,0.97933,0.97923
50,1.00207,1.00202,1.00566,1.00568,1.00111,1.001,1.00089,0.97923,0.97911
