Jsc4,Voc4,FF4,Hysteresis4,PCE4
1.00216,1.00503,1.00441,0.99197,1.01162
1.00199,1.00503,1.00439,0.99178,1.01156
1.00281,1.00505,1.00437,0.99153,1.01162
1.00195,1.00508,1.00435,0.99133,1.01164
1.00195,1.00504,1.00433,0.99117,1.01146
1.00221,1.00507,1.00431,0.99096,1.01146
1.00224,1.00506,1.00429,0.99071,1.01137
1.00183,1.00509,1.00427,0.99053,1.01138
1.00196,1.00509,1.00425,0.99035,1.01128
1.00172,1.00512,1.00423,0.99016,1.01133
1.00201,1.00515,1.00421,0.98995,1.01138
1.0019,1.00513,1.00419,0.98979,1.01121
1.00246,1.00514,1.00417,0.98952,1.01121
1.00205,1.00515,1.00415,0.98937,1.01126
1.00208,1.00513,1.00413,0.98913,1.01124
1.0019,1.00514,1.00411,0.98897,1.01127
1.00162,1.00517,1.00409,0.98875,1.01134
1.00183,1.00513,1.00408,0.98861,1.01115
1.00126,1.00513,1.00406,0.98845,1.01105
1.00163,1.00514,1.00404,0.98829,1.01101
1.00148,1.00515,1.00402,0.98807,1.01101
1.00175,1.00511,1.00401,0.98781,1.0108
1.00147,1.00514,1.00399,0.98767,1.01079
1.00123,1.00515,1.00397,0.98753,1.01074
1.00084,1.00514,1.00396,0.98738,1.01064
1.00048,1.00514,1.00394,0.98713,1.01054
1.00115,1.00511,1.00392,0.98698,1.0104
1.00123,1.00513,1.00391,0.98685,1.01043
1.00118,1.0051,1.00389,0.98672,1.0103
1.00117,1.0051,1.00387,0.9864,1.0102
1.00098,1.00512,1.00385,0.98619,1.01023
1.00097,1.00513,1.00384,0.98598,1.0102
1.00121,1.00516,1.00382,0.98583,1.01024
1.00102,1.00516,1.0038,0.98564,1.0102
1.00122,1.00517,1.00378,0.98544,1.01033
1.00132,1.00521,1.00376,0.9852,1.01057
1.0008,1.00519,1.00374,0.98499,1.01044
1.00126,1.0052,1.00372,0.98478,1.01041
1.00043,1.00521,1.00369,0.98457,1.0104
1.00067,1.00525,1.00367,0.98443,1.01048
1.00084,1.00527,1.00364,0.98428,1.0105
1.00085,1.00535,1.00362,0.98412,1.01065
1.00079,1.00537,1.00359,0.98394,1.0109
1.00102,1.00535,1.00356,0.98371,1.01091
1.00071,1.00533,1.00353,0.98363,1.01077
1.00102,1.00535,1.0035,0.98341,1.0108
1.00123,1.00538,1.00347,0.98326,1.01069
1.00129,1.00539,1.00343,0.98312,1.01055
1.00183,1.00542,1.0034,0.98297,1.01054
1.00096,1.00541,1.00336,0.98283,1.01046
1.0013,1.00542,1.00332,0.98265,1.01055
1.0008,1.00541,1.00327,0.98264,1.0105
1.00116,1.00541,1.00323,0.9826,1.01042
1.00111,1.00542,1.00318,0.98256,1.01032
1.00142,1.0054,1.00314,0.98252,1.01014
1.00093,1.0054,1.00309,0.98249,1.01009
1.00074,1.00541,1.00303,0.98231,1.01005
1.00135,1.00541,1.00298,0.98223,1.00994
1.00087,1.00541,1.00292,0.98207,1.0099
1.00123,1.00542,1.00286,0.98195,1.00986
1.00152,1.00539,1.0028,0.9819,1.00967
1.00102,1.00542,1.00274,0.98185,1.00969
1.00135,1.00545,1.00267,0.98172,1.0097
1.00152,1.00549,1.0026,0.98145,1.00972
1.00112,1.00549,1.00253,0.98141,1.00966
1.0013,1.0055,1.00246,0.98135,1.00971
1.00131,1.00553,1.00238,0.98123,1.00974
1.00184,1.00556,1.00231,0.98107,1.01009
1.00192,1.00556,1.00223,0.98096,1.01007
1.00175,1.00553,1.00214,0.98072,1.00997
1.00144,1.00553,1.00206,0.98055,1.00994
1.00187,1.00556,1.00197,0.98045,1.01002
1.0022,1.00556,1.00189,0.9803,1.00991
1.00167,1.00559,1.0018,0.98017,1.01004
1.00183,1.00558,1.0017,0.97997,1.00995
1.0024,1.00557,1.00161,0.9798,1.00976
1.00203,1.00559,1.00151,0.97977,1.00971
1.00243,1.00558,1.00141,0.97962,1.00957
1.00232,1.0056,1.00131,0.97959,1.00954
1.00109,1.00561,1.00121,0.97947,1.00973
1.00184,1.00564,1.00111,0.97933,1.00974
1.00207,1.00566,1.001,0.97923,1.00962
1.00202,1.00568,1.00089,0.97911,1.00955
1.00144,1.0057,1.00079,0.97902,1.00943
1.00192,1.00568,1.00068,0.97906,1.00921
1.00119,1.00566,1.00057,0.97896,1.00916
1.00241,1.00564,1.00045,0.97875,1.00894
1.00208,1.00562,1.00034,0.97867,1.00878
1.00209,1.0056,1.00023,0.97825,1.00852
1.00191,1.00558,1.00011,0.97819,1.00829
1.00195,1.00558,0.99999,0.97803,1.0081
1.00172,1.00559,0.99988,0.97789,1.00799
1.0013,1.00558,0.99976,0.9778,1.00773
1.00095,1.00551,0.99964,0.9777,1.00725
1.00208,1.00546,0.99952,0.97754,1.00694
1.00216,1.00544,0.9994,0.97744,1.00667
1.00156,1.00541,0.99928,0.97736,1.00641
1.00158,1.00538,0.99916,0.9772,1.00609
1.0021,1.00537,0.99904,0.97708,1.00624
1.00146,1.00537,0.99892,0.97702,1.00649
1.0008,1.0053,0.9988,0.97689,1.00594
1.00122,1.00526,0.99868,0.97665,1.00547
1.00119,1.00522,0.99857,0.97647,1.00506
1.00106,1.00519,0.99845,0.97633,1.0047
1.00105,1.00516,0.99833,0.97625,1.00437
1.00109,1.00516,0.99821,0.97612,1.00413
1.00071,1.00514,0.99809,0.97589,1.00382
1.0006,1.00514,0.99797,0.97584,1.00361
1.00039,1.00511,0.99785,0.97569,1.00331
1.00072,1.00508,0.99774,0.97554,1.00303
0.99947,1.00506,0.99762,0.97541,1.00278
1.00012,1.00503,0.9975,0.97521,1.00255
1.00065,1.00504,0.99739,0.97506,1.00257
1.00003,1.00499,0.99727,0.97489,1.00226
0.99995,1.00497,0.99716,0.97475,1.00203
1.00014,1.00497,0.99704,0.97459,1.00182
1.00077,1.00495,0.99693,0.9743,1.00153
1.00065,1.0049,0.99681,0.97411,1.00121
0.99988,1.00491,0.9967,0.97387,1.00112
0.99947,1.0049,0.99659,0.97372,1.00111
0.99926,1.00488,0.99647,0.9735,1.00127
0.99942,1.00486,0.99636,0.97338,1.00094
0.99956,1.00488,0.99625,0.97322,1.00082
0.99956,1.00483,0.99613,0.97308,1.00059
0.99994,1.00482,0.99602,0.97298,1.00036
0.99971,1.00481,0.99591,0.97283,1.00016
0.99991,1.0048,0.99579,0.97277,0.99995
0.99951,1.00482,0.99568,0.97263,0.99987
0.99961,1.00485,0.99556,0.9725,0.99966
0.99883,1.00486,0.99545,0.97235,0.99955
0.9996,1.00488,0.99533,0.97217,0.99947
0.99917,1.00484,0.99521,0.972,0.99929
0.99905,1.00482,0.9951,0.97195,0.99915
0.99916,1.00483,0.99498,0.9718,0.99937
0.99955,1.00482,0.99486,0.9717,0.99927
0.99881,1.00481,0.99474,0.9716,0.99899
0.99961,1.0048,0.99461,0.97153,0.99873
1.00009,1.00483,0.99449,0.97145,0.99875
0.99983,1.00486,0.99437,0.97127,0.99871
0.99932,1.00482,0.99424,0.97121,0.99852
0.99991,1.00483,0.99412,0.97108,0.99859
0.99945,1.00483,0.99399,0.97095,0.99843
0.99904,1.0048,0.99386,0.97078,0.99856
0.99957,1.00478,0.99373,0.97072,0.99813
0.99938,1.00481,0.9936,0.97067,0.99801
0.99984,1.00482,0.99347,0.97039,0.99786
0.99982,1.00479,0.99334,0.97031,0.99769
0.99953,1.00479,0.99321,0.97015,0.99763
0.99998,1.00483,0.99308,0.97008,0.99814
0.99968,1.0048,0.99294,0.96991,0.99809
0.9994,1.00481,0.99281,0.96988,0.99821
0.99981,1.00482,0.99267,0.96984,0.99861
0.99954,1.00487,0.99254,0.96959,0.99871
1.00007,1.00487,0.9924,0.96948,0.99853
1.00007,1.00486,0.99227,0.96938,0.99851
0.99986,1.0049,0.99213,0.96916,0.99842
0.99952,1.00487,0.99199,0.96905,0.99808
1.00008,1.00492,0.99185,0.96902,0.99807
0.99952,1.0049,0.99172,0.96876,0.99786
0.9996,1.0049,0.99158,0.96863,0.99763
0.99989,1.0049,0.99145,0.96852,0.99742
0.99988,1.00495,0.99131,0.96843,0.99739
0.99952,1.00494,0.99117,0.96817,0.99735
0.99999,1.00496,0.99104,0.96813,0.99725
1,1.00497,0.99091,0.968,0.99718
0.99937,1.00496,0.99077,0.96786,0.9972
0.99935,1.00503,0.99064,0.96772,0.99806
0.99946,1.00507,0.99051,0.96749,0.99826
0.99941,1.00502,0.99038,0.96745,0.99763
0.99986,1.005,0.99026,0.96722,0.99745
0.99954,1.00504,0.99013,0.96704,0.99738
0.99986,1.00501,0.99001,0.96703,0.99691
1.00008,1.005,0.98989,0.96691,0.99651
0.99931,1.00501,0.98977,0.96688,0.99617
0.99971,1.00502,0.98965,0.96677,0.99576
0.9999,1.00502,0.98954,0.96685,0.99544
0.9998,1.00505,0.98943,0.96687,0.99576
0.99922,1.00501,0.98932,0.96665,0.99533
0.99991,1.00505,0.98921,0.96655,0.99513
1.00002,1.00504,0.98911,0.96647,0.99482
1.00003,1.00498,0.98901,0.96647,0.99411
0.99909,1.005,0.98892,0.9664,0.99429
0.99953,1.00496,0.98883,0.96633,0.99381
0.99885,1.00495,0.98874,0.96629,0.99346
1.00006,1.00493,0.98865,0.9662,0.99323
0.99908,1.00492,0.98857,0.96597,0.99296
0.99996,1.00489,0.9885,0.96593,0.9924
1.0001,1.00488,0.98843,0.96597,0.99221
0.99929,1.00488,0.98836,0.9659,0.99193
0.99943,1.00483,0.9883,0.96591,0.99154
0.99893,1.00479,0.98824,0.96576,0.9913
0.99965,1.00478,0.98819,0.9657,0.99104
0.99906,1.00474,0.98814,0.96553,0.99064
0.99942,1.00472,0.9881,0.96547,0.99038
0.99911,1.00471,0.98807,0.9654,0.99018
0.99919,1.00474,0.98804,0.96523,0.99008
0.99898,1.0047,0.98801,0.96516,0.98987
0.99852,1.0047,0.98799,0.96509,0.98977
0.99824,1.00467,0.98798,0.96501,0.98962
0.99774,1.00467,0.98797,0.9649,0.9895
0.99796,1.00462,0.98797,0.96481,0.98871
0.99628,1.00462,0.98797,0.96454,0.98863
0.99813,1.00464,0.98798,0.96456,0.98861
0.99839,1.00469,0.988,0.96458,0.98874
0.99771,1.00471,0.98802,0.96461,0.98872
0.99742,1.00469,0.98805,0.96454,0.98861
0.99795,1.00467,0.98808,0.96446,0.98855
0.99801,1.00465,0.98813,0.96448,0.9885
0.99756,1.00467,0.98817,0.96447,0.9886
0.99782,1.00467,0.98822,0.96439,0.98875
0.99826,1.0047,0.98828,0.9642,0.98892
0.99741,1.00473,0.98835,0.96409,0.98911
0.99688,1.00472,0.98842,0.96409,0.98917
0.99798,1.00475,0.98849,0.96398,0.98917
0.99749,1.00478,0.98858,0.96415,0.98934
0.99713,1.00482,0.98866,0.96404,0.98954
0.997,1.00485,0.98876,0.96392,0.98974
0.99739,1.00488,0.98886,0.96391,0.98996
0.99722,1.00494,0.98896,0.96381,0.99027
0.99655,1.00497,0.98907,0.96385,0.99051
0.99842,1.00502,0.98919,0.96378,0.99072
0.99756,1.00507,0.98931,0.96382,0.9907
0.99699,1.00511,0.98943,0.96378,0.99098
0.9973,1.00513,0.98956,0.96381,0.99119
0.99695,1.00519,0.9897,0.96369,0.99145
0.99691,1.00522,0.98984,0.96356,0.99177
0.99722,1.00524,0.98998,0.96335,0.99203
0.99721,1.00526,0.99013,0.96326,0.99233
0.99741,1.00528,0.99028,0.96318,0.9926
0.99743,1.00526,0.99043,0.96305,0.99303
0.99653,1.00528,0.99059,0.96295,0.99337
0.99738,1.00529,0.99075,0.96294,0.99368
0.99759,1.00533,0.99092,0.96293,0.99403
0.99682,1.00534,0.99108,0.96282,0.99433
0.99695,1.00531,0.99125,0.96258,0.99442
0.99737,1.00536,0.99143,0.96239,0.995
0.99744,1.00536,0.9916,0.96227,0.99523
0.9974,1.00533,0.99178,0.96216,0.99537
0.99641,1.00534,0.99195,0.96201,0.99561
0.99744,1.00532,0.99213,0.96194,0.99584
0.99687,1.00536,0.99231,0.96188,0.99627
0.99698,1.00536,0.99249,0.96163,0.99642
0.9973,1.00534,0.99267,0.96145,0.99669
0.99741,1.0053,0.99285,0.9613,0.99667
0.9974,1.00536,0.99303,0.96116,0.99721
0.99735,1.00537,0.99321,0.96105,0.9976
0.9969,1.00537,0.99339,0.96101,0.99806
0.998,1.00539,0.99357,0.9609,0.99846
0.99777,1.00538,0.99375,0.96089,0.99882
0.99794,1.00537,0.99392,0.96077,0.9988
0.99743,1.00542,0.9941,0.96066,0.99908
0.99752,1.00542,0.99427,0.96055,0.99916
0.99763,1.0054,0.99444,0.96044,0.99869
0.99771,1.00537,0.99461,0.96045,0.99854
0.99781,1.00535,0.99477,0.96024,0.99868
0.99769,1.00535,0.99493,0.96012,0.99864
0.99743,1.00538,0.99509,0.96012,0.99892
0.99722,1.00544,0.99524,0.95999,0.99937
0.99743,1.00538,0.99539,0.9598,0.99936
0.99703,1.00542,0.99553,0.95982,0.99974
0.9972,1.00544,0.99567,0.95972,1.00001
0.99801,1.00545,0.99581,0.95957,1.00038
0.99706,1.00548,0.99594,0.95943,1.00077
0.99764,1.00553,0.99607,0.95942,1.00103
0.99678,1.00556,0.99619,0.95922,1.00136
0.9974,1.00555,0.99631,0.95913,1.00156
0.99761,1.00561,0.99642,0.95903,1.00182
0.9976,1.00553,0.99652,0.95893,1.00094
0.99745,1.00549,0.99663,0.95895,1.00058
0.99716,1.00553,0.99672,0.95885,1.00074
0.99729,1.00554,0.99681,0.95886,1.00065
0.99833,1.00551,0.9969,0.95888,1.00047
0.99824,1.00553,0.99698,0.95869,1.0006
0.99719,1.00556,0.99706,0.95861,1.00078
0.99764,1.00555,0.99713,0.9585,1.00086
0.99738,1.00551,0.99719,0.95846,1.00089
0.99732,1.0055,0.99726,0.95821,1.00099
0.99707,1.00548,0.99731,0.95814,1.00053
0.99733,1.0055,0.99736,0.95818,1.00073
0.99613,1.00548,0.99741,0.95805,1.00064
0.99712,1.00549,0.99746,0.95781,1.00067
0.99763,1.0055,0.99749,0.95795,1.00068
0.99683,1.00545,0.99753,0.95785,1.00005
0.99696,1.0055,0.99756,0.95785,1.0002
0.99622,1.00548,0.99759,0.9577,1.00011
0.99679,1.00548,0.99761,0.95765,0.99994
0.99595,1.00547,0.99763,0.95755,0.99978
0.9964,1.00552,0.99765,0.95736,0.99985
0.99637,1.00551,0.99766,0.9573,0.99965
0.99659,1.0055,0.99767,0.95748,0.99948
0.99628,1.00554,0.99768,0.95729,0.99947
0.99638,1.00553,0.99769,0.95722,0.99927
0.99579,1.00552,0.99769,0.95728,0.99911
0.996,1.00555,0.99769,0.95743,0.99909
0.99609,1.00555,0.99768,0.95732,0.99898
0.99489,1.00558,0.99768,0.9571,0.99902
0.99604,1.00554,0.99767,0.95656,0.99888
0.99588,1.00558,0.99766,0.9564,0.99897
0.99559,1.00558,0.99765,0.95652,0.99895
0.99465,1.00562,0.99763,0.95638,0.99902
0.99675,1.00562,0.99761,0.95631,0.99868
0.99538,1.00562,0.9976,0.95624,0.99854
0.99504,1.00566,0.99757,0.95638,0.99853
0.99522,1.00562,0.99755,0.95626,0.99835
0.99522,1.00558,0.99753,0.95626,0.99811
0.99547,1.00556,0.9975,0.95622,0.99809
0.99552,1.00557,0.99747,0.95608,0.99821
0.99585,1.00557,0.99744,0.95675,0.99817
